Hours_Studied,Hours_Sleep,Number_of_Assignments,Dist_from_College,Grade
100,4,11,14,30
193,12,21,1.56,77
160,7,18,17.37,64
410,10,18,0.61,82
240,8,18,2.03,72
247,8,23,3.47,74
270,10,18,0,81
283,12,28,5.29,85
125,6,15,14.44,50
150,8,14,10.8,45
280,9,26,2.86,84
410,8,23,8.15,82
195,10,19,2.88,78
190,8,12,0.92,57
133,6,13,2.83,53
183,5,15,0.09,55
175,8,8,12.6,35
167,5,12,0,50
370,11,19,1.02,74
237,7,20,0.44,71
223,11,26,1.89,89
153,9,18,1.69,61
295,7,13,8.91,59
98,4,9,0,39
188,8,21,0.17,75
400,7,23,0,80
310,10,28,6.64,93
243,9,25,2.9,97
207,8,16,6.29,62
213,8,16,1.56,85
375,11,19,1.31,75
190,5,14,9.32,57
280,9,16,16.74,56
267,11,17,1.83,80
290,7,15,0,58
183,6,16,7.91,55
150,7,8,11.11,45
420,8,23,2.13,84
100,6,9,13.05,40
310,10,20,3.73,93
197,7,17,11.72,59
240,9,21,9.26,72
360,11,22,8.89,72
370,8,16,4.39,74
330,8,19,0.03,99
265,7,17,4.15,53
295,5,16,5.76,59
240,7,14,7.08,48
113,7,7,12.83,45
305,6,19,1.36,61
165,5,6,38.18,33
307,13,26,4.57,92
113,6,11,1.89,34
133,5,13,16.67,40
225,8,25,5.56,90
255,8,11,7.94,51
430,7,20,6.28,86
420,11,16,7.86,84
310,11,21,1.61,93
193,9,21,6.86,77
160,6,12,8.15,48
180,7,11,11.14,36
470,9,24,1.93,94
310,8,18,9.44,62
205,11,16,0.85,82
217,8,15,3.08,65
153,7,10,10.33,46
133,6,12,25.89,40
380,7,21,4.44,76
195,10,15,0.69,78
380,9,18,0.32,76
267,8,17,0.35,80
405,10,17,0.37,81
170,4,9,0,51
100,6,11,0.27,30
340,7,19,6.99,68
240,7,11,12.22,48
280,9,11,0.33,56
235,7,13,0.36,47
257,9,21,2.92,77
243,14,26,1.67,97
110,6,11,6.76,44
460,11,25,0.14,92
300,9,25,12,90
155,8,14,11.61,62
220,12,22,4.9,88
190,9,16,1.35,57
290,10,21,7.18,87
440,12,22,1.46,88
108,5,9,24.19,43
80,5,10,8.06,32
238,8,23,1.47,95
120,8,11,0.5,48
247,7,15,0.11,74
300,8,18,3.97,90
190,9,18,2.54,57
190,5,8,31.58,38
370,7,17,6.61,74
148,5,16,5.04,59
245,6,12,0.95,49
155,7,11,2.44,31
325,8,16,4.62,65
223,7,22,7.36,67
247,7,18,3.8,74
160,7,20,15.63,64
335,9,13,0.62,67
240,8,12,2.43,48
193,7,14,1.77,58
160,7,7,3,32
107,6,8,0.47,32
490,12,19,2.24,98
250,10,21,0.1,75
75,4,10,2.59,30
270,9,21,0,81
180,5,11,2.59,36
333,11,23,4.64,100
300,10,20,3.37,90
245,10,20,1.1,98
303,9,25,0.81,91
208,11,16,0,83
170,9,15,1.93,68
155,5,9,14.52,31
215,5,11,7.64,43
270,11,21,2.72,81
120,4,11,18.89,36
495,10,26,3.02,99
330,9,14,3.16,66
238,11,25,0.33,95
213,9,16,0.47,85
320,9,23,0.26,96
108,4,10,14.11,43
133,5,12,3.21,53
140,5,8,1.07,42
223,8,18,0,89
290,5,16,6.65,58
228,10,24,5.23,91
395,8,23,3.8,79
248,10,26,1.39,99
277,11,17,5.78,83
190,8,23,2.76,76
157,6,8,9.65,47
117,4,6,19.06,35
217,8,18,2.15,65
285,6,14,5.24,57
490,11,22,0.26,98
158,7,14,8.43,63
197,5,12,0,59
405,9,18,2.05,81
495,10,26,3.77,99
297,8,17,6.46,89
213,8,24,3.18,85
220,9,17,2.42,66
345,8,22,5.9,69
160,10,20,10.94,64
230,8,23,3.8,92
163,8,16,14.67,65
263,11,17,0.31,79
183,9,17,2.88,73
307,9,24,0,92
157,6,8,2.68,47
113,5,8,1.1,34
215,13,28,2.97,86
165,6,9,1.82,33
370,8,19,3.63,74
327,13,28,1.63,98
233,9,21,0.31,70
240,9,24,3.5,96
133,5,12,7.5,40
183,8,19,0,73
260,12,23,2.02,78
270,6,14,9.63,54
173,7,20,0.87,69
163,7,15,8.92,65
108,7,12,3.77,43
195,10,17,12.39,78
137,5,9,0.8,41
370,10,18,7.09,74
123,7,12,15.41,37
255,5,12,1.05,51
465,9,19,0,93
440,10,22,0.82,88
185,8,17,4.69,74
200,5,12,7.25,40
137,6,8,0,41
193,6,14,0,58
220,6,8,0.34,44
323,10,23,4.37,97
303,9,27,4.84,91
138,8,13,0,55
195,9,19,2.97,78
460,9,19,2.72,92
250,9,21,3.47,75
290,8,18,15.52,58
100,6,7,0,30
205,9,18,15.91,82
340,8,18,8.09,68
445,9,19,3.36,89
130,7,14,11.87,52
215,11,20,8.37,86
300,11,17,0,90
175,9,17,10.88,70
233,10,26,4.3,93
195,8,9,0,39
297,11,19,6.18,89
500,12,21,2.13,100
280,9,23,2.22,84
140,9,15,4.53,56
375,7,18,1.44,75
237,8,23,2.63,71
195,10,21,6.09,78
245,9,27,2.18,98
480,13,19,0.69,96
450,10,24,2.33,90
205,6,11,8.88,41
440,13,22,0.97,88
213,9,25,0.96,85
440,10,22,7.67,88
110,6,9,7.22,44
205,10,27,3.8,82
210,5,13,0,42
135,8,13,1.67,54
220,9,23,3.18,88
300,6,12,1.05,60
340,8,19,7.94,68
455,12,20,0.26,91
310,10,22,1.84,93
305,7,17,5.64,61
220,7,13,9.18,44
470,10,20,5.02,94
330,8,16,0.45,66
133,6,17,17.17,53
435,9,22,1.38,87
170,8,17,0.34,68
210,7,12,0.38,42
178,8,17,3.24,71
75,6,9,7.5,30
285,8,17,12.28,57
123,6,13,0,37
248,11,22,0,99
125,6,16,2,50
240,9,23,0,72
155,10,13,0.58,62
120,7,12,14.58,36
128,8,14,18.3,51
445,12,24,4.57,89
400,11,17,1.39,80
228,8,28,6.87,91
83,6,8,22.21,33
115,5,8,1.45,46
330,10,29,3.41,99
290,12,21,4.85,87
415,12,21,4.52,83
175,7,21,4.89,70
495,11,21,0,99
98,7,10,9.97,39
225,7,7,0,45
107,4,10,0.83,32
157,5,13,0,47
158,7,14,4.66,63
85,7,9,5.88,34
303,10,19,0.16,91
480,9,19,3.35,96
280,6,16,20.83,56
270,8,26,7.33,81
185,9,16,7.53,74
167,8,10,9.98,50
140,7,9,5,42
175,8,17,6.94,70
267,8,16,9.5,80
190,9,21,0,76
187,8,13,8.57,56
83,7,10,19.74,33
235,5,9,0.57,47
128,8,15,8.27,51
143,8,11,5.04,43
297,7,21,7.89,89
490,12,22,2.99,98
133,7,11,7.67,40
217,10,17,2.22,65
113,8,11,6.37,34
323,10,25,1.37,97
180,7,16,14.91,54
180,5,12,12.99,36
375,8,20,0.4,75
203,10,13,0,61
180,6,16,3.21,54
195,12,19,4.94,78
117,7,7,12.63,35
243,9,19,2.47,73
303,11,23,0.6,91
150,6,14,4.89,45
313,12,27,8.56,94
230,6,14,1.55,69
465,10,21,5.22,93
208,10,18,5.38,83
297,8,20,5.24,89
253,9,17,1.54,76
420,8,18,2.71,84
385,8,22,3.41,77
110,7,12,15.45,33
320,7,21,3.13,64
385,9,19,11.93,77
430,13,17,0.61,86
110,7,7,4.09,44
103,6,9,13.06,31
470,12,20,3.23,94
233,9,12,10.71,70
228,9,25,1.98,91
223,9,23,0.22,89
193,9,24,0.58,77
155,4,9,2.54,31
177,5,14,0.84,53
178,11,19,0,71
138,6,16,9.98,55
163,7,21,2.75,65
190,7,12,2.71,38
335,7,16,0.46,67
267,10,23,0.21,80
193,7,16,22.41,58
330,12,28,4.24,99
445,8,19,4.67,89
285,6,16,0.92,57
335,7,17,2.99,67
120,8,13,3.89,36
305,9,14,5.41,61
130,7,13,7.81,52
277,10,22,0.9,83
217,10,15,9.4,65
243,10,25,9.07,97
315,9,16,0.53,63
193,7,17,8.21,77
237,6,20,3.94,71
140,9,14,7.29,56
470,11,21,2.73,94
143,7,12,7.39,43
485,9,29,0.8,97
200,10,25,0.97,80
233,11,20,1.61,93
190,10,18,1.32,76
330,9,25,0.09,99
203,7,16,6.88,81
370,8,20,15.68,74
293,10,22,1.64,88
173,8,12,1.21,52
153,8,9,0.82,46
465,12,23,0.09,93
185,4,10,2.7,37
235,12,23,5.88,94
230,12,25,0.85,92
205,6,14,4.18,41
240,8,19,2.3,72
220,6,9,9.93,44
283,12,26,2.65,85
440,9,17,4.82,88
490,13,24,0.87,98
237,10,23,1.27,71
165,8,14,0.7,66
270,9,20,0.37,81
157,6,9,18.97,47
235,11,24,8.58,94
165,8,16,9.06,66
248,13,28,0.35,99
200,10,22,1.29,80
210,8,15,0.88,63
125,7,16,4.89,50
333,12,29,4.22,100
168,7,14,9.96,67
180,7,9,0.9,36
490,9,25,0.82,98
263,9,16,5.22,79
95,7,7,30.45,38
223,7,20,1.97,67
495,11,27,7.54,99
290,9,13,6.21,58
215,5,9,1.86,43
287,11,20,4.08,86
250,11,16,5.85,75
117,7,6,23.48,35
90,6,9,10.37,36
175,8,15,0.04,70
150,8,10,0,45
127,5,9,1.45,38
155,5,4,9.35,31
440,12,19,1.31,88
90,5,9,24.44,36
170,6,9,9.78,34
300,5,13,11,60
263,12,26,0,79
317,9,28,5.05,95
188,7,18,0.8,75
333,11,28,0.27,100
193,6,15,4.14,58
215,8,9,8.69,43
217,5,14,5.03,65
255,8,15,4.42,51
310,9,16,5.76,62
215,10,22,2.33,86
335,7,16,12.15,67
240,5,9,8.75,48
270,8,20,7.78,81
188,9,14,4.82,75
153,10,17,9.64,61
480,13,26,1.88,96
118,6,14,6.06,47
133,4,9,4.13,40
213,10,26,6.35,85
360,8,15,12.64,72
315,7,13,3.87,63
480,10,27,0.19,96
155,7,4,19.35,31
425,12,26,1.62,85
480,11,23,1.64,96
290,9,13,3.14,58
198,9,15,4.51,79
250,9,29,3.93,100
127,5,12,10.95,38
213,9,17,8.75,64
190,9,13,9.12,76
295,5,17,6.78,59
147,7,9,1.21,44
193,7,24,2.6,77
290,11,26,7.02,87
223,7,13,15.67,67
138,9,13,10.69,55
103,4,6,16.13,31
290,9,23,1.66,87
180,10,13,0,72
160,7,6,6.25,32
137,7,12,0,41
465,10,24,2.49,93
263,9,18,0,79
180,5,10,9.72,36
290,11,23,2.36,87
380,6,17,10.69,76
220,8,8,11.04,44
355,9,21,1.41,71
90,6,6,13.89,36
115,7,10,0.81,46
135,8,9,0.35,54
233,9,29,6.14,93
165,7,10,2.27,33
263,11,20,2.15,79
455,8,23,0.38,91
138,6,14,3.84,55
460,11,28,2.09,92
175,7,9,18.57,35
173,6,13,20.45,52
323,12,23,0.59,97
193,9,21,10.04,77
305,10,15,0.29,61
395,7,26,0,79
385,6,20,1.63,77
475,12,21,5.33,95
103,7,9,1.94,31
333,12,21,1.5,100
240,7,14,3.02,72
280,7,11,1.94,56
213,10,26,1.41,85
325,6,15,0,65
345,7,18,0.61,69
195,5,11,16.67,39
203,9,16,0.7,61
150,5,10,0.67,45
175,6,6,4.95,35
133,7,12,6.86,40
235,12,25,0.43,94
293,11,20,0.98,88
267,10,22,10.68,80
283,7,21,2.68,85
335,10,18,0.9,67
213,10,22,1.25,85
110,8,14,14.03,44
350,10,22,1.14,70
235,5,15,1.52,47
213,8,21,0.91,85
223,10,15,0.87,67
450,8,29,0,90
150,7,11,6.3,60
193,11,24,2.45,77
445,10,25,8.99,89
123,6,12,3.86,49
90,7,9,3.58,36
177,5,14,0.59,53
390,9,18,1.44,78
128,5,10,2.82,51
193,10,23,18.2,77
100,7,7,5.3,30
250,8,11,1.17,50
293,7,24,4.28,88
160,5,6,21.33,32
210,11,22,0,84
330,9,15,1.26,66
263,12,23,3.1,79
245,10,27,1.19,98
147,5,7,2.5,44
220,11,19,1.19,88
160,7,18,7.25,64
180,10,16,8,72
150,7,12,0,60
155,10,14,4.03,62
320,12,19,1.67,96
310,9,18,5.1,62
155,5,8,0.12,31
257,6,24,3.9,77
200,8,16,3.15,60
243,8,22,3.77,73
270,8,15,6.42,54
185,11,19,2.43,74
350,8,14,2.22,70
177,6,15,1.06,53
183,9,17,1.37,73
327,13,21,7.65,98
83,6,11,13.13,33
103,6,13,6.59,41
157,7,10,0.71,47
157,6,13,1.11,47
190,11,19,3.32,76
100,8,12,5.79,40
380,8,19,0.2,76
500,11,28,2.49,100
130,6,15,7.91,52
133,6,8,2.83,40
170,6,9,13.75,34
150,5,12,1.39,45
215,5,10,5.06,43
287,9,25,0.92,86
285,5,16,6.02,57
280,6,15,2.86,56
223,13,21,0.9,89
205,8,12,8.59,41
213,7,16,7.29,64
325,7,15,0.09,65
113,8,12,7.39,45
245,9,29,4.82,98
313,9,22,0,94
470,9,23,0.52,94
120,4,11,18,36
127,4,11,8.47,38
287,11,27,0,86
215,8,10,1.55,43
88,5,10,5.91,35
110,4,7,27.88,33
93,7,10,0.32,37
200,4,9,11.38,40
300,7,14,2.48,60
320,9,17,0.39,64
375,8,18,0.9,75
83,6,9,24.55,33
310,7,18,2.01,62
205,8,10,12.44,41
180,8,12,0.48,54
385,8,24,0,77
157,6,14,0.43,47
137,7,12,0.27,41
228,11,24,8.93,91
198,12,18,8.44,79
220,9,16,5.84,66
133,7,13,4.08,53
360,11,16,0.14,72
323,12,27,2.3,97
285,8,18,18.95,57
390,10,16,0.73,78
225,6,11,7.08,45
198,9,17,9.68,79
88,8,10,2.74,35
155,7,6,0.65,31
303,12,24,2.83,91
480,11,20,0.63,96
200,5,12,16.96,40
440,11,22,1.92,88
90,4,7,0.52,36
283,9,21,2.04,85
223,9,25,0.9,89
220,7,20,16.84,66
333,13,31,0,100
445,12,21,1.35,89
198,10,20,2.05,79
480,14,30,2,96
95,7,12,0,38
237,7,19,7.73,71
335,9,17,6.72,67
250,7,14,4.64,50
120,5,6,1.67,36
137,5,9,7.07,41
183,9,20,0.33,73
247,9,13,5.63,74
420,10,19,3.64,84
205,7,21,0.37,82
155,7,15,0.48,62
88,6,8,7.39,35
335,9,18,2.79,67
325,8,17,6.72,65
355,7,22,1.55,71
147,7,11,0.11,44
310,8,13,8.71,62
225,9,21,1.65,90
85,6,7,5.51,34
475,12,20,5.01,95
137,4,7,16.55,41
230,6,13,7.39,46
247,7,15,2.9,74
280,6,12,3.25,56
360,10,19,1.75,72
230,11,22,0.87,92
445,9,26,1.05,89
230,7,12,0.91,69
280,7,11,13.41,56
185,7,16,4.46,74
475,13,23,4.72,95
120,7,8,1.02,48
80,4,9,11.38,32
425,9,22,5.72,85
233,9,23,0.11,93
335,9,21,4.48,67
153,8,17,1.2,61
485,9,20,2.97,97
307,10,27,5.09,92
195,8,22,4.91,78
110,7,9,5.45,33
143,8,15,7.7,57
207,6,19,11.83,62
113,7,9,7.44,34
133,9,12,1.89,53
270,8,19,3.05,81
180,5,10,5.82,54
205,5,6,0,41
330,14,25,1.01,99
177,5,11,17.98,53
290,7,17,8.47,58
305,9,14,4.92,61
183,8,16,0,73
138,8,15,1.4,55
450,8,20,0.96,90
133,7,10,8.25,40
78,5,9,24.95,31
200,5,16,0.13,60
283,8,20,2.94,85
177,7,18,3.91,53
203,8,16,0,61
127,6,8,0,38
333,9,27,3.77,100
90,7,6,5.75,36
220,5,11,5.45,44
420,10,20,3.29,84
320,6,15,8.91,64
158,6,16,2.1,63
78,7,7,2.18,31
230,5,15,8.16,46
165,4,9,10,33
187,9,14,7.14,56
280,6,15,1.7,56
160,7,12,0,48
120,7,8,3.75,36
190,7,12,0,38
185,9,16,5.68,74
230,10,15,1.88,69
440,13,18,2.05,88
167,5,11,5.4,50
248,11,30,0.78,99
108,7,11,7.86,43
148,9,13,0.98,59
85,5,9,8.63,34
213,5,13,3.69,64
240,13,21,0.36,96
80,6,9,4.95,32
233,9,27,1.98,93
130,7,13,4.95,52
500,12,22,2.17,100
155,8,14,3.16,62
193,9,17,0.92,58
225,8,17,0.67,90
100,7,6,23.15,30
243,7,22,0.31,73
380,9,14,1.05,76
88,6,11,40.05,35
230,5,13,0.12,46
155,6,10,4.65,31
470,9,24,3.35,94
323,10,20,3.61,97
83,5,8,5.66,33
160,8,14,5,64
83,6,8,5.19,33
160,5,8,0.23,32
153,5,12,0,46
145,9,16,7.76,58
165,5,6,21.68,33
155,7,10,1.2,31
260,7,16,3.61,52
225,11,18,0.6,90
400,10,20,3.35,80
195,6,13,5,39
187,7,18,14.54,56
180,9,21,0,72
110,5,7,1.75,33
130,8,12,0.1,52
173,7,12,13.33,52
208,11,26,1.39,83
360,7,15,3.13,72
195,7,10,1.74,39
435,8,26,2.87,87
240,9,22,0.83,96
243,9,22,0.61,73
190,6,10,17.54,38
90,7,13,2.86,36
150,7,6,13.22,30
127,7,12,8.68,38
123,5,8,0,37
173,7,21,12.01,69
95,4,13,2.5,38
147,7,8,0.91,44
345,10,21,10.14,69
190,8,18,3.59,76
150,6,17,2.68,60
303,10,19,0,91
335,10,14,0.27,67
95,6,8,8.42,38
440,11,24,7.39,88
260,11,18,7.18,78
110,7,7,25.76,33
495,11,27,2.83,99
325,7,19,2.31,65
200,4,6,10,40
355,6,15,7.35,71
435,13,19,0.1,87
130,6,12,4.81,52
185,6,9,0.84,37
490,13,22,5.55,98
280,8,12,2.19,56
150,8,13,15,60
465,8,23,3.15,93
120,6,8,13.84,36
227,9,15,6.05,68
197,9,11,4.97,59
440,10,24,3.04,88
143,6,14,11.7,57
350,7,12,0.16,70
90,4,10,0,36
327,12,27,1.33,98
130,5,14,0.77,52
310,9,21,0.74,93
180,7,23,4.63,72
78,7,6,6.81,31
280,5,13,16.88,56
238,13,23,4.21,95
177,7,14,0.06,53
110,5,8,9.29,44
425,9,24,0.57,85
185,9,17,2.4,74
123,4,10,9.73,37
230,8,16,0.5,69
117,7,11,8.17,35
165,9,21,3.79,66
415,10,20,7.59,83
350,11,16,2.45,70
153,6,13,2.93,46
425,9,17,0.29,85
215,11,21,2.88,86
330,13,28,3.21,99
150,6,4,5.42,30
220,4,7,0.99,44
180,7,16,2.89,72
163,4,11,0,49
420,10,26,8.4,84
140,8,14,3.79,56
495,11,21,0.61,99
88,8,9,6.98,35
180,7,10,0.37,54
238,11,30,2.95,95
155,7,10,6.68,31
165,5,11,2.36,33
380,10,21,7.5,76
205,7,12,2.44,41
228,9,21,0,91
168,7,15,6.4,67
170,4,8,25.13,34
410,10,18,2.85,82
350,6,20,2.19,70
300,8,14,1.81,60
340,9,18,9.71,68
155,4,8,0.19,31
170,7,8,0,34
133,6,10,1.33,40
285,5,14,1.43,57
470,9,17,4.29,94
265,5,15,4.34,53
78,7,6,22.45,31
147,7,13,0,44
390,10,19,0.59,78
305,9,16,0.78,61
147,8,10,0.39,44
185,6,12,1.01,37
170,6,13,10.29,51
138,6,10,0,55
130,8,11,2.31,52
285,8,14,3.95,57
257,12,18,0.61,77
253,11,21,1.67,76
170,5,8,8.24,34
260,9,22,1.67,78
110,7,9,0.3,44
120,4,7,1.3,36
237,8,15,3.01,71
320,9,15,1.33,64
460,12,20,5.59,92
130,6,12,6.04,52
150,7,10,19.56,45
167,6,13,8.4,50
147,8,11,6,44
160,5,11,11.46,48
490,11,29,0,98
283,9,23,0.24,85
330,14,22,2.63,99
490,8,22,9.18,98
405,7,22,5.86,81
285,7,11,0.37,57
445,10,24,2.4,89
415,8,21,8.37,83
155,7,10,17.37,31
147,6,12,0.48,44
75,4,7,0.83,30
193,6,15,1.08,58
163,8,12,19.38,65
215,10,21,1.86,86
195,7,13,8.89,39
430,8,25,3.02,86
143,6,13,3.51,57
153,8,15,0.59,61
183,5,14,6.55,55
270,6,13,12.64,54
240,13,26,1.04,96
110,6,8,5.37,44
327,12,24,1.07,98
180,6,12,0.69,54
185,9,17,0,74
187,7,15,5.8,56
265,6,11,6.42,53
230,9,24,0,92
280,7,18,3.57,56
173,10,18,6,69
340,6,16,0,68
160,7,9,16.07,32
220,7,18,2.93,66
297,10,27,1.59,89
275,8,13,2.67,55
