customerID,ChurnCategory,ChurnReason
7298-KVHY,Other,Don't know
7078-CYAE,Other,Don't know
5739-YBPF,Other,Don't know
2325-JKUT,Other,Don't know
8751-DTMW,Competitor,Competitor made better offer
8643-YRPN,Other,Don't know
9170-NYEH,Other,Poor expertise of online support
3345-CWXW,Price,Long distance charges
6014-KDYR,Competitor,Competitor had better devices
3011-XSEU,Competitor,Competitor had better devices
4390-JIZZ,Competitor,Competitor had better devices
7986-ZPAI,Competitor,Competitor had better devices
2346-FUIP,Dissatisfaction,Network reliability
1952-VNQF,Competitor,Competitor had better devices
2466-VACQ,Competitor,Competitor had better devices
8214-HDWF,Dissatisfaction,Network reliability
1653-DTWM,Dissatisfaction,Network reliability
8388-DFRE,Dissatisfaction,Network reliability
5094-PVHV,Dissatisfaction,Network reliability
7795-QKXX,Competitor,Competitor had better devices
8378-GXFA,Competitor,Competitor had better devices
1556-USEI,Dissatisfaction,Network reliability
0051-DWVS,Dissatisfaction,Network reliability
8002-KJGJ,Other,Don't know
0621-FMCQ,Other,Don't know
7125-DGJC,Competitor,Competitor made better offer
3277-HHVT,Dissatisfaction,Poor expertise of online support
0501-RQTP,Dissatisfaction,Poor expertise of phone support
5947-IHMM,Price,Long distance charges
2046-VRMT,Attitude,Attitude of support person
1264-QMKN,Competitor,Competitor offered more data
9728-NKFJ,Competitor,Competitor made better offer
7866-HCTO,Competitor,Competitor had better devices
7292-PDJJ,Price,Long distance charges
2470-WZJM,Competitor,Competitor had better devices
6706-PLUD,Competitor,Competitor had better devices
7277-BTWZ,Competitor,Competitor made better offer
6277-EIKM,Competitor,Competitor had better devices
0996-BPST,Competitor,Competitor offered more data
8389-RTBE,Competitor,Competitor offered more data
7986-FVUK,Competitor,Competitor made better offer
9865-PETU,Competitor,Competitor made better offer
3700-WJCG,Competitor,Competitor had better devices
0614-UYAE,Competitor,Competitor offered higher download speeds
1872-KSLW,Competitor,Competitor offered more data
5049-ATEA,Competitor,Competitor made better offer
8235-ATDB,Competitor,Competitor had better devices
9486-APOG,Competitor,Competitor had better devices
4668-DZEM,Competitor,Competitor offered higher download speeds
4989-KKTB,Competitor,Competitor had better devices
2083-SPHH,Competitor,Competitor offered higher download speeds
8600-YQVP,Competitor,Competitor had better devices
7289-BUQV,Competitor,Competitor had better devices
3772-TDDC,Competitor,Competitor offered more data
9848-BXBL,Competitor,Competitor made better offer
8889-JYZU,Other,Poor expertise of online support
0667-KDKU,Competitor,Competitor had better devices
3025-XUAO,Attitude,Attitude of support person
9380-STXW,Competitor,Competitor offered more data
2428-RJUE,Competitor,Competitor made better offer
4734-LFVJ,Competitor,Competitor had better devices
3407-ZQGN,Competitor,Competitor had better devices
8718-OEDV,Competitor,Competitor had better devices
2219-SVUF,Competitor,Competitor offered higher download speeds
7407-KMDX,Competitor,Competitor had better devices
5058-KIOU,Attitude,Attitude of service provider
3080-NRIP,Competitor,Competitor had better devices
6086-FDXF,Competitor,Competitor had better devices
6403-DPQT,Competitor,Competitor made better offer
5557-IGGS,Competitor,Competitor made better offer
3230-GUHN,Competitor,Competitor had better devices
6567-NVEU,Competitor,Competitor offered higher download speeds
6893-XFBQ,Competitor,Competitor had better devices
5210-JTGK,Competitor,Competitor made better offer
1896-JWOH,Competitor,Competitor had better devices
6674-IPEO,Competitor,Competitor had better devices
2916-OPPI,Price,Long distance charges
5105-VSLF,Attitude,Attitude of support person
1088-RDOQ,Competitor,Competitor had better devices
8754-WUTE,Competitor,Competitor offered more data
4120-LSAS,Competitor,Competitor had better devices
3760-KQYS,Competitor,Competitor offered more data
2764-IZEK,Competitor,Competitor made better offer
9524-FGIL,Competitor,Competitor made better offer
7874-NXFM,Attitude,Attitude of service provider
2782-OASB,Attitude,Attitude of service provider
0328-MGTB,Attitude,Attitude of service provider
6704-AGYM,Attitude,Attitude of support person
7429-GPCO,Attitude,Attitude of support person
0750-KZHP,Attitude,Attitude of support person
3115-ONXY,Attitude,Attitude of service provider
0296-VMZL,Attitude,Attitude of service provider
4504-TAXX,Competitor,Competitor had better devices
7963-VKVH,Competitor,Competitor made better offer
2796-LQVD,Competitor,Competitor made better offer
2584-HBVQ,Other,Moved
7146-VPOA,Competitor,Competitor had better devices
5531-FXZN,Other,Moved
8258-IYWV,Competitor,Competitor made better offer
2907-ZUIM,Competitor,Competitor made better offer
5145-LGKL,Competitor,Competitor made better offer
3236-UCZA,Competitor,Competitor made better offer
2765-ZVMY,Competitor,Competitor made better offer
2865-ZOYK,Competitor,Competitor made better offer
3314-XRFV,Competitor,Competitor made better offer
0471-LINO,Competitor,Competitor made better offer
8404-HDTO,Competitor,Competitor made better offer
1251-IRYQ,Competitor,Competitor made better offer
8901-MBJL,Competitor,Competitor made better offer
5308-DGIF,Competitor,Competitor made better offer
5725-EIGQ,Competitor,Competitor made better offer
9515-FYOF,Other,Don't know
6840-JQVM,Competitor,Competitor made better offer
5441-MHBB,Competitor,Competitor made better offer
1098-PAMC,Competitor,Competitor made better offer
0259-JFWD,Competitor,Competitor made better offer
5393-HSVT,Competitor,Competitor made better offer
8022-IYTZ,Competitor,Competitor made better offer
8137-OXUW,Price,Extra data charges
9900-FDLV,Price,Extra data charges
5690-ODWA,Competitor,Competitor had better devices
1824-PKQW,Competitor,Competitor had better devices
0534-HKWQ,Price,Extra data charges
6110-TLUE,Competitor,Competitor made better offer
4427-DAAE,Price,Extra data charges
0170-MZAM,Price,Extra data charges
3085-LHIC,Other,Don't know
2745-BGCB,Other,Don't know
3990-MCLL,Other,Don't know
8309-IQCR,Competitor,Competitor had better devices
9543-RJPY,Attitude,Attitude of support person
5397-XQQM,Competitor,Competitor had better devices
6125-EDRV,Attitude,Attitude of support person
5317-BRZN,Attitude,Attitude of support person
2727-ZPCO,Attitude,Attitude of support person
2445-DVET,Competitor,Competitor had better devices
3113-DBEI,Competitor,Competitor had better devices
3867-PRSF,Attitude,Attitude of support person
6399-HUHA,Attitude,Attitude of support person
1374-XEQS,Other,Don't know
4944-ODJP,Competitor,Competitor had better devices
4501-CUTW,Attitude,Attitude of support person
8749-FMVJ,Attitude,Attitude of support person
8407-LHGI,Competitor,Competitor had better devices
3717-CYYJ,Attitude,Attitude of support person
1230-EIWA,Attitude,Attitude of support person
9398-HRMV,Competitor,Competitor had better devices
8672-DRXJ,Attitude,Attitude of support person
3845-KEVP,Attitude,Attitude of support person
0532-IOSX,Attitude,Attitude of support person
2491-UVYW,Attitude,Attitude of support person
9776-JHCF,Attitude,Attitude of support person
4115-JHUK,Attitude,Attitude of support person
6176-BUQQ,Competitor,Competitor had better devices
3243-RJCF,Attitude,Attitude of support person
8197-UIEU,Competitor,Competitor had better devices
4886-BAFO,Attitude,Attitude of support person
9621-MCGM,Attitude,Attitude of support person
1113-HDJO,Attitude,Attitude of support person
4011-FESI,Attitude,Attitude of support person
6440-SFZJ,Competitor,Competitor had better devices
1172-PSYO,Attitude,Attitude of support person
8210-YLXP,Attitude,Attitude of support person
5957-GNOP,Attitude,Attitude of support person
3903-EJCW,Attitude,Attitude of support person
6427-RUJP,Attitude,Attitude of support person
5188-QOGI,Attitude,Attitude of support person
7581-HOEB,Other,Poor expertise of online support
6615-ZYUQ,Attitude,Attitude of support person
1599-ACJB,Attitude,Attitude of support person
2977-SBBW,Attitude,Attitude of support person
9966-SNEI,Attitude,Attitude of support person
8434-SEID,Attitude,Attitude of support person
2738-LIKF,Attitude,Attitude of support person
1588-JEHL,Attitude,Attitude of support person
8682-IUUE,Attitude,Attitude of support person
5604-JBZP,Competitor,Competitor had better devices
2803-RSUC,Attitude,Attitude of support person
9370-UKHS,Competitor,Competitor had better devices
5763-AFJN,Attitude,Attitude of support person
3446-VRVY,Attitude,Attitude of support person
7383-CPZC,Attitude,Attitude of support person
0376-XCOY,Attitude,Attitude of support person
6795-YZRP,Attitude,Attitude of support person
7614-VZDW,Attitude,Attitude of support person
3675-TPGD,Attitude,Attitude of support person
7194-CLRJ,Attitude,Attitude of support person
7783-OAIM,Attitude,Attitude of support person
9555-LTPC,Attitude,Attitude of support person
0636-KCLF,Competitor,Competitor made better offer
2205-MYBK,Competitor,Competitor made better offer
6487-BTYP,Competitor,Competitor made better offer
8082-DOLG,Competitor,Competitor made better offer
3127-ARSV,Other,Don't know
9449-EGMU,Competitor,Competitor made better offer
6303-CXPN,Competitor,Competitor made better offer
5684-GYOW,Competitor,Competitor made better offer
4506-PCCZ,Competitor,Competitor made better offer
6994-ISVM,Competitor,Competitor made better offer
1601-OBXY,Competitor,Competitor made better offer
5935-USEP,Competitor,Competitor made better offer
2841-LJMI,Competitor,Competitor made better offer
6273-XHIK,Competitor,Competitor made better offer
5612-QHIR,Attitude,Attitude of support person
5795-JZKS,Competitor,Competitor made better offer
2679-OHJL,Competitor,Competitor made better offer
9874-SWKH,Competitor,Competitor made better offer
1144-VYWT,Competitor,Competitor made better offer
5426-DBAB,Competitor,Competitor made better offer
7920-ZYLE,Competitor,Competitor made better offer
3385-ABGE,Other,Poor expertise of online support
4952-THCQ,Competitor,Competitor made better offer
2248-BSDE,Competitor,Competitor made better offer
3208-CIJJ,Competitor,Competitor made better offer
7642-VMZC,Competitor,Competitor made better offer
2818-PTHL,Competitor,Competitor made better offer
8951-HHTR,Competitor,Competitor made better offer
2247-XWFH,Competitor,Competitor made better offer
3310-LBYD,Dissatisfaction,Product dissatisfaction
7905-WITA,Competitor,Competitor made better offer
8544-QSTN,Competitor,Competitor made better offer
0533-DQZK,Dissatisfaction,Product dissatisfaction
8893-FKLG,Price,Long distance charges
0041-BBWW,Other,Don't know
9908-QUXM,Dissatisfaction,Product dissatisfaction
3683-JLGS,Dissatisfaction,Product dissatisfaction
4553-EGBN,Dissatisfaction,Product dissatisfaction
8199-QWBH,Competitor,Competitor made better offer
8265-KAPL,Dissatisfaction,Product dissatisfaction
6344-ZFMK,Other,Don't know
2004-EZCY,Other,Don't know
5657-UNOF,Other,Don't know
4902-CEUB,Competitor,Competitor made better offer
3835-TBQO,Dissatisfaction,Poor expertise of phone support
1225-WYVV,Attitude,Attitude of support person
5146-MSLW,Attitude,Attitude of support person
1389-XQWD,Competitor,Competitor made better offer
4632-EFZO,Competitor,Competitor had better devices
6933-QJFI,Attitude,Attitude of service provider
7182-AJTD,Attitude,Attitude of support person
6766-MBGM,Attitude,Attitude of support person
5549-LJPR,Attitude,Attitude of support person
5471-TCKN,Competitor,Competitor had better devices
0527-TLXB,Attitude,Attitude of service provider
8333-MMGL,Attitude,Attitude of service provider
4744-IIWQ,Competitor,Competitor had better devices
0968-PJPX,Attitude,Attitude of support person
8737-SETI,Attitude,Attitude of support person
3295-QHUA,Competitor,Competitor made better offer
8734-WNFZ,Attitude,Attitude of service provider
9862-JSJV,Attitude,Attitude of service provider
3382-KXJD,Other,Don't know
1649-LSVH,Attitude,Attitude of support person
4710-CFKL,Competitor,Competitor had better devices
1861-AZFB,Attitude,Attitude of service provider
9926-ZTQQ,Competitor,Competitor had better devices
7466-VVCY,Attitude,Attitude of service provider
7698-NKTE,Attitude,Attitude of support person
7493-SCAT,Competitor,Competitor had better devices
5221-AYGI,Attitude,Attitude of service provider
0105-WGRF,Attitude,Attitude of service provider
1760-OQIZ,Attitude,Attitude of service provider
9958-MWNB,Attitude,Attitude of support person
3856-DGSR,Attitude,Attitude of support person
8145-OYSE,Attitude,Attitude of support person
1652-HWRA,Attitude,Attitude of service provider
3769-QVOY,Attitude,Attitude of service provider
6116-YFED,Attitude,Attitude of service provider
2676-YLUM,Competitor,Competitor had better devices
1621-HGTZ,Competitor,Competitor had better devices
0547-XPJE,Attitude,Attitude of support person
2687-DBFH,Attitude,Attitude of service provider
9826-CTMG,Attitude,Attitude of service provider
1200-AKBJ,Attitude,Attitude of service provider
0921-VCXY,Attitude,Attitude of support person
1491-ONDB,Attitude,Attitude of support person
0951-NZAM,Competitor,Competitor had better devices
5316-EYZL,Attitude,Attitude of service provider
7176-BXBW,Other,Don't know
0839-FFVI,Attitude,Attitude of service provider
1020-ZESJ,Attitude,Attitude of support person
9766-MMQY,Competitor,Competitor had better devices
0690-ZRHW,Competitor,Competitor had better devices
4370-HGPR,Competitor,Competitor had better devices
8572-OAAB,Attitude,Attitude of service provider
0323-DAFB,Attitude,Attitude of service provider
5276-OHQK,Attitude,Attitude of support person
3191-TYOU,Competitor,Competitor had better devices
7103-ALUO,Attitude,Attitude of support person
9442-QSSH,Competitor,Competitor had better devices
1583-GYHR,Competitor,Competitor had better devices
7879-YFUU,Attitude,Attitude of service provider
6838-MIYP,Attitude,Attitude of support person
2998-DARA,Competitor,Competitor had better devices
6511-MYZT,Competitor,Competitor made better offer
7462-DSGJ,Competitor,Competitor had better devices
3053-IXVJ,Attitude,Attitude of service provider
8265-OAHT,Competitor,Competitor made better offer
8684-BVFD,Competitor,Competitor made better offer
7314-SGEH,Other,Moved
2955-ODZJ,Other,Moved
8472-OCWT,Other,Moved
7855-EFDT,Competitor,Competitor had better devices
4247-EZUM,Competitor,Competitor offered higher download speeds
1875-GFTF,Competitor,Competitor had better devices
7577-BBUO,Competitor,Competitor made better offer
4610-OZDY,Competitor,Competitor made better offer
4154-VIZI,Competitor,Competitor had better devices
7543-ULUN,Competitor,Competitor had better devices
7484-QDBD,Competitor,Competitor offered higher download speeds
4098-TXZP,Competitor,Competitor offered higher download speeds
6871-TWPP,Competitor,Competitor had better devices
5142-KBXL,Competitor,Competitor offered more data
0671-IGOJ,Competitor,Competitor offered more data
6693-FIOE,Competitor,Competitor made better offer
0315-NQKV,Competitor,Competitor made better offer
7571-MUZE,Competitor,Competitor had better devices
1557-JJJV,Dissatisfaction,Product dissatisfaction
2043-YDFI,Dissatisfaction,Service dissatisfaction
3173-YFAE,Competitor,Competitor had better devices
0636-QIHN,Dissatisfaction,Network reliability
0878-XJKA,Dissatisfaction,Limited range of services
1225-LCEZ,Price,Lack of affordable download/upload speed
9465-PPAJ,Price,Long distance charges
0357-QWDW,Price,Extra data charges
2074-VQGR,Price,Price too high
2381-HIOG,Dissatisfaction,Product dissatisfaction
0072-JUCY,Competitor,Competitor had better devices
8666-JGLU,Attitude,Attitude of support person
0036-CPPU,Dissatisfaction,Network reliability
1644-YNVV,Other,Poor expertise of online support
6820-XDBO,Other,Don't know
1129-KZFF,Other,Don't know
9858-DDVK,Dissatisfaction,Poor expertise of online support
7768-NOLR,Dissatisfaction,Poor expertise of phone support
3874-WIUP,Price,Price too high
7611-MRCU,Dissatisfaction,Product dissatisfaction
6378-QWSY,Dissatisfaction,Service dissatisfaction
2933-FPCB,Attitude,Attitude of support person
4867-BPPI,Competitor,Competitor had better devices
0122-YFRD,Dissatisfaction,Limited range of services
0714-OCZW,Price,Long distance charges
2096-XKFA,Price,Long distance charges
0684-GPKD,Price,Extra data charges
9150-UVBS,Price,Price too high
0727-AWQD,Dissatisfaction,Product dissatisfaction
2184-QPSK,Dissatisfaction,Service dissatisfaction
5700-NGCZ,Attitude,Attitude of support person
6300-MVUZ,Dissatisfaction,Network reliability
8521-FRTG,Other,Don't know
6445-TYWB,Other,Don't know
3252-VLNU,Other,Don't know
9702-AOEB,Competitor,Competitor had better devices
6660-OJEU,Competitor,Competitor had better devices
0078-GGDI,Competitor,Competitor had better devices
9447-DDHP,Dissatisfaction,Limited range of services
1854-KBGI,Price,Lack of affordable download/upload speed
8002-AYDG,Price,Long distance charges
1189-YCPM,Price,Price too high
6870-XSYK,Dissatisfaction,Product dissatisfaction
0446-IVSF,Dissatisfaction,Service dissatisfaction
5679-JRKI,Attitude,Attitude of support person
4222-GZTM,Dissatisfaction,Network reliability
1637-NTTG,Other,Don't know
8851-ACHB,Other,Don't know
1382-MJNN,Other,Don't know
9394-VEMU,Price,Price too high
