Transaction ID,Date,Time,Type of Card,Entry Mode,Amount,Type of Transaction,Merchant Group,Country of Transaction,Shipping Address,Country of Residence,Gender,Age,Bank,Fraud
229541,14/10/2020,20,Visa,PIN,38,POS,Subscription,United Kingdom,United Kingdom,United Kingdom,F,53,TSB,0
229682,13/10/2020,16,Visa,Tap,26,Online,Gaming,United Kingdom,United Kingdom,United Kingdom,M,53,Barclays,0
229700,14/10/2020,8,MasterCard,Tap,27,POS,Children,United Kingdom,United Kingdom,United Kingdom,M,53,Monzo,0
229782,14/10/2020,10,Visa,Tap,11,ATM,Food,United Kingdom,United Kingdom,United Kingdom,M,53,Metro,0
229789,13/10/2020,7,Visa,Tap,25,Online,Fashion,United Kingdom,United Kingdom,United Kingdom,F,53,RBS,0
229790,14/10/2020,13,Visa,PIN,149,ATM,Subscription,United Kingdom,China,United Kingdom,M,53,RBS,0
229797,13/10/2020,18,MasterCard,PIN,116,ATM,Gaming,United Kingdom,United Kingdom,United Kingdom,F,53,RBS,0
229844,14/10/2020,17,Visa,PIN,105,Online,Services,United Kingdom,USA,United Kingdom,M,53,Monzo,0
229880,14/10/2020,18,MasterCard,PIN,385,ATM,Subscription,United Kingdom,Russia,United Kingdom,F,53,Lloyds,0
229886,13/10/2020,12,Visa,PIN,81,ATM,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
229945,13/10/2020,8,Visa,Tap,6,POS,Products,United Kingdom,United Kingdom,United Kingdom,F,53,Barlcays,0
230021,13/10/2020,19,MasterCard,Tap,8,ATM,Restaurant,United Kingdom,Russia,United Kingdom,F,53,Halifax,0
230043,14/10/2020,18,Visa,PIN,69,ATM,Food,USA,United Kingdom,USA,F,53,Halifax,0
230082,14/10/2020,10,Visa,Tap,13,ATM,Subscription,United Kingdom,United Kingdom,United Kingdom,F,53,Monzo,0
230108,13/10/2020,23,MasterCard,PIN,55,POS,Food,United Kingdom,United Kingdom,United Kingdom,M,53,Metro,0
230162,13/10/2020,23,MasterCard,Tap,20,POS,Entertainment,India,India,United Kingdom,M,53,RBS,1
230422,14/10/2020,21,Visa,PIN,122,Online,Children,United Kingdom,United Kingdom,United Kingdom,F,53,HSBC,0
230482,13/10/2020,15,MasterCard,Tap,12,POS,Fashion,United Kingdom,United Kingdom,United Kingdom,M,53,Barclays,0
230487,13/10/2020,22,MasterCard,PIN,111,POS,Electronics,India,India,India,F,53,Lloyds,0
230531,14/10/2020,19,MasterCard,PIN,84,Online,Subscription,Russia,Russia,Russia,F,53,Barclays,0
230577,13/10/2020,13,MasterCard,PIN,107,ATM,Subscription,United Kingdom,United Kingdom,United Kingdom,F,53,HSBC,0
230613,14/10/2020,9,MasterCard,Tap,8,POS,Subscription,United Kingdom,United Kingdom,United Kingdom,M,53,TSB,0
230779,13/10/2020,9,Visa,Tap,28,POS,Gaming,United Kingdom,United Kingdom,United Kingdom,M,53,RBS,0
230809,14/10/2020,14,MasterCard,Tap,25,ATM,Services,United Kingdom,United Kingdom,United Kingdom,M,53,Barclays,0
230812,14/10/2020,11,Visa,Tap,27,ATM,Food,India,India,India,F,53,RBS,0
230813,13/10/2020,23,MasterCard,PIN,148,POS,Children,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
230829,14/10/2020,17,MasterCard,PIN,360,ATM,Electronics,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
230871,13/10/2020,17,MasterCard,PIN,264,POS,Services,United Kingdom,Russia,United Kingdom,F,53,RBS,0
230926,13/10/2020,12,MasterCard,Tap,12,POS,Food,United Kingdom,United Kingdom,United Kingdom,M,53,Monzo,0
230957,13/10/2020,20,MasterCard,PIN,136,POS,Gaming,Russia,Russia,Russia,F,53,Barlcays,0
230998,13/10/2020,10,Visa,PIN,197,Online,Services,United Kingdom,United Kingdom,United Kingdom,F,53,Barlcays,0
231068,13/10/2020,23,MasterCard,PIN,45,ATM,Electronics,United Kingdom,China,United Kingdom,M,53,Monzo,0
231109,14/10/2020,17,Visa,Tap,21,POS,Fashion,China,China,China,F,53,TSB,0
231122,14/10/2020,23,MasterCard,Tap,19,ATM,Food,India,India,United Kingdom,M,53,RBS,0
231147,13/10/2020,18,MasterCard,PIN,260,POS,Gaming,United Kingdom,United Kingdom,United Kingdom,F,53,Barlcays,0
231162,13/10/2020,22,Visa,PIN,270,ATM,Services,United Kingdom,Russia,United Kingdom,M,53,Halifax,0
231244,14/10/2020,14,MasterCard,Tap,16,ATM,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
231303,14/10/2020,20,Visa,Tap,19,Online,Restaurant,China,China,China,M,53,RBS,0
231363,14/10/2020,7,Visa,PIN,72,Online,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,53,RBS,0
231628,13/10/2020,8,Visa,Tap,17,Online,Fashion,United Kingdom,United Kingdom,United Kingdom,M,53,Barclays,0
231682,14/10/2020,22,Visa,Tap,29,ATM,Food,Russia,Russia,Russia,M,53,Barclays,0
231736,14/10/2020,10,Visa,PIN,210,ATM,Services,United Kingdom,United Kingdom,United Kingdom,M,53,RBS,0
231768,14/10/2020,20,Visa,PIN,300,ATM,Gaming,United Kingdom,United Kingdom,United Kingdom,M,53,Barclays,0
231845,14/10/2020,15,MasterCard,Tap,16,ATM,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,53,RBS,0
231850,14/10/2020,23,MasterCard,Tap,5,POS,Children,United Kingdom,Russia,United Kingdom,M,53,Barclays,0
231883,14/10/2020,11,Visa,Tap,27,Online,Children,United Kingdom,United Kingdom,United Kingdom,F,53,Halifax,0
232014,13/10/2020,10,Visa,Tap,28,Online,Food,United Kingdom,United Kingdom,United Kingdom,M,53,TSB,0
232026,13/10/2020,16,MasterCard,PIN,242,ATM,Gaming,United Kingdom,United Kingdom,United Kingdom,M,53,HSBC,0
232054,13/10/2020,20,MasterCard,PIN,279,POS,Gaming,United Kingdom,USA,United Kingdom,F,53,Metro,0
232123,14/10/2020,8,MasterCard,Tap,23,POS,Services,United Kingdom,United Kingdom,United Kingdom,M,53,Barclays,0
232260,14/10/2020,13,MasterCard,PIN,214,Online,Children,United Kingdom,Russia,United Kingdom,F,53,HSBC,0
232422,13/10/2020,10,MasterCard,PIN,227,ATM,Food,United Kingdom,United Kingdom,United Kingdom,F,53,RBS,0
232627,13/10/2020,12,Visa,Tap,17,Online,Subscription,United Kingdom,United Kingdom,United Kingdom,M,53,Metro,0
232925,14/10/2020,6,Visa,Tap,26,Online,Services,United Kingdom,China,United Kingdom,M,53,Barclays,1
232945,14/10/2020,13,Visa,PIN,357,Online,Products,India,India,United Kingdom,M,53,Barclays,1
233087,13/10/2020,23,Visa,PIN,177,Online,Electronics,United Kingdom,Russia,United Kingdom,F,53,Barlcays,0
233101,13/10/2020,23,Visa,PIN,382,ATM,Electronics,USA,USA,USA,F,53,Barclays,0
233192,13/10/2020,3,Visa,Tap,29,ATM,Subscription,China,China,United Kingdom,M,53,Barclays,1
233227,13/10/2020,21,Visa,PIN,323,POS,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
233303,14/10/2020,15,Visa,PIN,56,Online,Electronics,United Kingdom,India,United Kingdom,M,53,Monzo,0
233327,13/10/2020,16,Visa,PIN,148,ATM,Subscription,India,India,India,F,53,Barlcays,0
233494,13/10/2020,21,Visa,Tap,29,ATM,Fashion,United Kingdom,United Kingdom,United Kingdom,M,53,Barlcays,0
233511,13/10/2020,14,Visa,Tap,22,POS,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,53,Monzo,0
233548,14/10/2020,16,MasterCard,Tap,17,ATM,Food,China,China,United Kingdom,F,53,Lloyds,0
233556,13/10/2020,14,Visa,PIN,172,Online,Entertainment,United Kingdom,China,United Kingdom,M,53,Monzo,0
233563,13/10/2020,16,MasterCard,Tap,24,ATM,Children,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
233597,13/10/2020,15,MasterCard,PIN,384,Online,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,53,Metro,0
233743,13/10/2020,23,MasterCard,PIN,105,Online,Products,United Kingdom,United Kingdom,United Kingdom,M,53,Monzo,0
233773,14/10/2020,9,Visa,PIN,77,ATM,Electronics,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
233797,14/10/2020,12,Visa,PIN,152,Online,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,53,Metro,0
233862,14/10/2020,17,Visa,PIN,342,ATM,Products,United Kingdom,USA,United Kingdom,F,53,Barclays,0
233909,13/10/2020,21,Visa,Tap,11,Online,Services,United Kingdom,United Kingdom,United Kingdom,M,53,Metro,0
233947,14/10/2020,22,Visa,Tap,24,POS,Entertainment,USA,USA,USA,F,53,HSBC,0
233988,14/10/2020,19,Visa,PIN,203,ATM,Food,India,India,India,F,53,RBS,0
234124,14/10/2020,19,Visa,PIN,217,POS,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,53,Halifax,0
234155,13/10/2020,18,MasterCard,PIN,131,Online,Subscription,United Kingdom,United Kingdom,United Kingdom,F,53,TSB,0
234172,14/10/2020,13,MasterCard,Tap,14,POS,Fashion,United Kingdom,United Kingdom,United Kingdom,F,53,TSB,0
234206,14/10/2020,10,Visa,Tap,6,POS,Subscription,United Kingdom,United Kingdom,United Kingdom,M,53,Barclays,0
234251,14/10/2020,13,MasterCard,PIN,157,Online,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
234331,14/10/2020,9,MasterCard,Tap,5,POS,Services,United Kingdom,Russia,United Kingdom,F,53,TSB,0
234382,14/10/2020,18,Visa,PIN,334,POS,Children,Russia,Russia,United Kingdom,M,53,Barclays,1
234509,14/10/2020,14,MasterCard,Tap,23,POS,Subscription,United Kingdom,Russia,United Kingdom,M,53,TSB,0
234540,13/10/2020,2,Visa,Tap,5,ATM,Gaming,India,India,United Kingdom,M,53,Monzo,1
234546,13/10/2020,23,Visa,PIN,197,Online,Fashion,USA,USA,United Kingdom,M,53,Monzo,1
234645,13/10/2020,19,Visa,Tap,29,Online,Subscription,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
234753,13/10/2020,7,MasterCard,Tap,6,POS,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,53,Barclays,0
234772,13/10/2020,23,Visa,Tap,12,Online,Services,USA,USA,USA,F,53,Barclays,0
234889,13/10/2020,6,Visa,PIN,236,Online,Electronics,China,China,United Kingdom,F,53,Barclays,1
234914,14/10/2020,11,MasterCard,Tap,5,Online,Restaurant,United Kingdom,India,United Kingdom,F,53,TSB,0
234917,13/10/2020,7,Visa,Tap,25,ATM,Gaming,United Kingdom,United Kingdom,United Kingdom,M,53,TSB,0
235015,14/10/2020,12,MasterCard,PIN,219,Online,Electronics,United Kingdom,United Kingdom,United Kingdom,F,53,Barlcays,0
235018,14/10/2020,11,MasterCard,PIN,382,Online,Gaming,United Kingdom,United Kingdom,United Kingdom,F,53,RBS,0
235139,13/10/2020,15,Visa,PIN,316,Online,Gaming,United Kingdom,United Kingdom,United Kingdom,M,53,Lloyds,0
235239,13/10/2020,16,MasterCard,Tap,26,ATM,Services,United Kingdom,United Kingdom,United Kingdom,M,53,Barclays,0
235269,13/10/2020,15,MasterCard,Tap,19,POS,Subscription,United Kingdom,United Kingdom,United Kingdom,F,53,Barlcays,0
235290,14/10/2020,8,Visa,Tap,29,POS,Services,India,India,India,M,53,Halifax,0
235435,14/10/2020,19,MasterCard,Tap,25,POS,Subscription,United Kingdom,United Kingdom,United Kingdom,M,53,Barclays,0
235462,13/10/2020,22,Visa,Tap,29,ATM,Children,United Kingdom,United Kingdom,United Kingdom,M,53,Barclays,0
215580,14/10/2020,12,MasterCard,PIN,108,POS,Children,United Kingdom,United Kingdom,United Kingdom,F,54,TSB,0
215599,14/10/2020,8,Visa,Tap,25,ATM,Services,United Kingdom,China,United Kingdom,M,54,HSBC,0
215619,14/10/2020,9,MasterCard,PIN,203,Online,Services,United Kingdom,India,United Kingdom,M,54,Lloyds,0
215655,14/10/2020,22,Visa,PIN,174,ATM,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,54,HSBC,0
215675,13/10/2020,18,Visa,Tap,27,Online,Food,India,India,United Kingdom,F,54,Monzo,1
215689,14/10/2020,11,MasterCard,PIN,33,POS,Gaming,United Kingdom,China,United Kingdom,F,54,Metro,0
215759,13/10/2020,11,Visa,Tap,23,Online,Food,USA,USA,USA,F,54,TSB,0
216001,13/10/2020,19,MasterCard,PIN,212,Online,Entertainment,United Kingdom,USA,United Kingdom,F,54,Barclays,0
216057,14/10/2020,19,MasterCard,Tap,30,Online,Gaming,United Kingdom,United Kingdom,United Kingdom,F,54,HSBC,0
216330,14/10/2020,13,MasterCard,PIN,237,Online,Products,United Kingdom,United Kingdom,United Kingdom,F,54,Halifax,0
216339,13/10/2020,14,MasterCard,Tap,13,Online,Restaurant,India,India,India,F,54,Monzo,0
216384,14/10/2020,14,Visa,PIN,364,ATM,Products,USA,USA,United Kingdom,M,54,Barclays,0
216422,14/10/2020,17,MasterCard,Tap,11,POS,Subscription,China,China,China,F,54,Lloyds,0
216471,13/10/2020,16,MasterCard,PIN,15,POS,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,54,Barclays,0
216567,14/10/2020,20,MasterCard,Tap,13,Online,Children,United Kingdom,United Kingdom,United Kingdom,M,54,Lloyds,0
216757,13/10/2020,21,MasterCard,Tap,18,Online,Electronics,United Kingdom,United Kingdom,United Kingdom,F,54,Barlcays,0
216986,14/10/2020,21,Visa,Tap,19,Online,Entertainment,United Kingdom,China,United Kingdom,F,54,Barclays,0
216993,14/10/2020,7,MasterCard,PIN,72,Online,Fashion,United Kingdom,United Kingdom,United Kingdom,M,54,Metro,0
217008,13/10/2020,7,MasterCard,Tap,6,POS,Gaming,United Kingdom,China,United Kingdom,F,54,Metro,0
217057,14/10/2020,17,MasterCard,Tap,27,POS,Services,United Kingdom,United Kingdom,United Kingdom,F,54,Halifax,0
217069,13/10/2020,2,Visa,Tap,29,Online,Fashion,China,China,United Kingdom,M,54,Barclays,1
217144,14/10/2020,8,Visa,Tap,20,POS,Subscription,United Kingdom,United Kingdom,United Kingdom,F,54,Monzo,0
217201,14/10/2020,20,Visa,Tap,28,Online,Food,China,China,United Kingdom,M,54,Monzo,1
217421,14/10/2020,12,Visa,PIN,312,ATM,Gaming,India,India,United Kingdom,M,54,HSBC,1
217446,14/10/2020,20,Visa,PIN,346,ATM,Subscription,United Kingdom,USA,United Kingdom,M,54,TSB,0
217447,14/10/2020,18,MasterCard,Tap,6,POS,Subscription,United Kingdom,India,United Kingdom,M,54,HSBC,0
217461,14/10/2020,17,Visa,PIN,146,POS,Products,Russia,Russia,Russia,M,54,Monzo,0
217579,13/10/2020,21,MasterCard,PIN,67,Online,Food,United Kingdom,United Kingdom,United Kingdom,F,54,TSB,0
217586,14/10/2020,20,Visa,Tap,13,POS,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,54,Halifax,0
217634,13/10/2020,11,MasterCard,PIN,350,POS,Food,India,India,India,M,54,Monzo,0
217753,13/10/2020,17,Visa,Tap,9,POS,Food,United Kingdom,United Kingdom,United Kingdom,M,54,Lloyds,0
217764,14/10/2020,22,MasterCard,PIN,108,POS,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,54,Halifax,0
217806,13/10/2020,18,MasterCard,PIN,215,Online,Subscription,USA,USA,USA,M,54,RBS,0
217853,14/10/2020,2,Visa,Tap,10,ATM,Fashion,United Kingdom,Russia,United Kingdom,F,54,RBS,1
217891,14/10/2020,23,MasterCard,PIN,39,Online,Children,United Kingdom,United Kingdom,United Kingdom,M,54,Lloyds,0
218073,14/10/2020,13,Visa,Tap,13,Online,Services,United Kingdom,United Kingdom,United Kingdom,M,54,Barclays,0
218119,13/10/2020,20,Visa,Tap,20,Online,Electronics,United Kingdom,United Kingdom,United Kingdom,F,54,Metro,0
218152,14/10/2020,12,Visa,Tap,10,POS,Products,China,China,China,M,54,Monzo,0
218157,13/10/2020,15,Visa,PIN,359,ATM,Food,United Kingdom,Russia,United Kingdom,M,54,Monzo,0
218226,13/10/2020,19,Visa,Tap,11,ATM,Services,Russia,Russia,United Kingdom,F,54,Lloyds,0
218257,13/10/2020,10,MasterCard,Tap,28,Online,Products,United Kingdom,United Kingdom,United Kingdom,M,54,Barclays,0
218364,14/10/2020,7,MasterCard,Tap,24,POS,Subscription,United Kingdom,United Kingdom,United Kingdom,F,54,Halifax,0
218421,13/10/2020,18,Visa,Tap,21,Online,Services,United Kingdom,United Kingdom,United Kingdom,M,54,Halifax,0
218452,14/10/2020,21,Visa,Tap,20,POS,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,54,Monzo,0
218554,14/10/2020,20,MasterCard,PIN,247,POS,Subscription,China,China,China,F,54,Lloyds,0
218596,14/10/2020,13,MasterCard,PIN,69,Online,Gaming,United Kingdom,United Kingdom,United Kingdom,M,54,Monzo,0
218671,14/10/2020,22,MasterCard,PIN,33,POS,Fashion,United Kingdom,United Kingdom,United Kingdom,F,54,Barclays,0
218754,14/10/2020,16,Visa,Tap,27,ATM,Services,United Kingdom,United Kingdom,United Kingdom,M,54,Halifax,0
218847,14/10/2020,20,MasterCard,Tap,9,POS,Entertainment,United Kingdom,China,United Kingdom,M,54,RBS,0
218934,13/10/2020,13,Visa,PIN,304,POS,Food,United Kingdom,United Kingdom,United Kingdom,F,54,TSB,0
218978,14/10/2020,13,MasterCard,Tap,10,POS,Restaurant,China,China,United Kingdom,M,54,Barclays,1
219022,14/10/2020,23,MasterCard,PIN,51,POS,Children,United Kingdom,United Kingdom,United Kingdom,F,54,Monzo,0
219115,14/10/2020,13,MasterCard,PIN,86,POS,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,54,TSB,0
219201,13/10/2020,22,Visa,PIN,272,POS,Gaming,United Kingdom,United Kingdom,United Kingdom,M,54,Metro,0
219276,13/10/2020,12,MasterCard,PIN,165,Online,Services,China,United Kingdom,China,M,54,Barclays,0
219304,14/10/2020,11,MasterCard,Tap,6,ATM,Electronics,United Kingdom,India,United Kingdom,M,54,Barclays,0
219506,14/10/2020,17,MasterCard,PIN,383,POS,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,54,Halifax,0
219508,13/10/2020,16,Visa,Tap,27,POS,Children,United Kingdom,United Kingdom,United Kingdom,F,54,HSBC,0
219536,13/10/2020,17,Visa,Tap,19,ATM,Entertainment,United Kingdom,Russia,United Kingdom,F,54,Barclays,0
219665,14/10/2020,10,Visa,PIN,78,Online,Restaurant,China,United Kingdom,China,F,54,TSB,0
219702,14/10/2020,18,Visa,PIN,176,Online,Children,United Kingdom,United Kingdom,United Kingdom,F,54,Lloyds,0
219765,13/10/2020,9,MasterCard,PIN,164,ATM,Subscription,United Kingdom,United Kingdom,United Kingdom,M,54,Monzo,0
219882,13/10/2020,21,MasterCard,PIN,178,ATM,Food,United Kingdom,United Kingdom,United Kingdom,M,54,Barlcays,0
219886,14/10/2020,11,MasterCard,PIN,15,Online,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,54,Halifax,0
219965,13/10/2020,21,Visa,PIN,87,Online,Products,United Kingdom,United Kingdom,United Kingdom,M,54,Monzo,0
